Id,Start time,Completion time,Email,Name,"Which high school curriculum did you follow?
","If you studied the UAE Curriculum, which track did you follow?
",Which subjects did you study in high school? (Select all that apply),What was your IELTS/TOEFL score?,Which field interests you the most?,What type of career do you envision?,"Do you prefer a technical, creative, or business-oriented role?
","Would you like to work in a research, corporate, startup, or freelance environment?",How important is job stability in your career choice?,Do you prefer working with people or working with technology?,"Do you enjoy working on structured tasks with clear guidelines?
","Do you enjoy hands-on work (e.g., lab experiments, building things)?
","Do you prefer theoretical learning, practical work, or a mix of both?
",Would you rather work on individual projects or team-based assignments?,"Do you prefer exams, projects, or research-based assessments?",How comfortable are you with subjects like math and science?,"Are you looking for a flexible program where you can specialize later?
","Would you prefer a structured degree (e.g., Computer Science, Biotech- nology) or one with multiple pathways (e.g., Business, Media)?",Would you like a program with strong industry connections and internship opportunities?,"Do you see yourself working in an office, lab, outdoors, or remotely?
",Do you want a job with a predictable routine or a dynamic work environ- ment?,How important is global career mobility for you?,Do you want a career that allows remote work?,best_fit
1,1/31/2025 16:48,1/31/2025 16:49,anonymous,,UAE Curriculum,Scientific,Math;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Science,Freelancer / Independent worker,Technical,Startup,Somewhat important,Mostly with people,Yes,Yes,Theoretical,Mostly team-based,Exams,Neutral,Yes,Flexible,No,Office,Somewhat predictable,Not important,No,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
2,1/31/2025 16:48,1/31/2025 16:49,anonymous,,UAE Curriculum,Scientific,Biology;Math;Media;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Freelancer / Independent worker,Creative,Freelance,Somewhat important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Projects,Very comfortable,Yes,Structured,No,Remote,Neutral,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
3,1/31/2025 16:48,1/31/2025 16:50,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Freelancer / Independent worker,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Remote,Very predictable,Somewhat important,Yes,BACHELOR OF ARTS IN MASS COMMUNICATION
4,1/31/2025 16:51,1/31/2025 16:53,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Researcher,Creative,Research,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,No,Flexible,Yes,Lab,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
5,1/31/2025 16:51,1/31/2025 16:54,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Creative,Corporate,Very Important,A mix of both,Yes,No,A mix of both,A mix of both,Projects,Very comfortable,No,Flexible,Yes,Office,Somewhat dynamic,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
6,1/31/2025 16:55,1/31/2025 16:56,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;Computer Science;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Entrepreneur / Startup founder,Technical,Research,Important,Mostly with technology,No,,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Lab,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
7,1/31/2025 16:55,1/31/2025 16:57,anonymous,,UAE Curriculum,Scientific,Chemistry;Physics;Biology;Math;Business;Arts;Media;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Researcher,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,Mostly individual,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE
8,1/31/2025 16:57,1/31/2025 16:58,anonymous,,UAE Curriculum,Scientific,Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Corporate professional,Technical,Corporate,Somewhat important,Mostly with technology,Yes,No,Practical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
9,1/31/2025 16:58,1/31/2025 16:58,anonymous,,UAE Curriculum,Literary,Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Engineering,Entrepreneur / Startup founder,Creative,Corporate,Somewhat important,Mostly with technology,Yes,Yes,A mix of both,A mix of both,Exams,Somewhat uncomfortable,Yes,Structured,Yes,Lab,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
10,1/31/2025 16:59,1/31/2025 16:59,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Arts,Entrepreneur / Startup founder,Creative,Research,Somewhat important,Mostly with technology,Yes,Yes,Practical,Mostly team-based,Research,Somewhat comfortable,Yes,Structured,Yes,Outdoors,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
11,1/31/2025 16:59,1/31/2025 17:00,anonymous,,UAE Curriculum,Literary,Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Corporate professional,Technical,Corporate,Somewhat important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
12,1/31/2025 17:01,1/31/2025 17:02,anonymous,,UAE Curriculum,Literary,Math;Computer Science;Business;Media;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Technology,Researcher,Technical,Research,Important,A mix of both,Yes,Yes,Practical,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE
13,1/31/2025 17:05,1/31/2025 17:07,anonymous,,UAE Curriculum,Literary,Physics;Chemistry;Biology;Math;Business;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Arts,Entrepreneur / Startup founder,Creative,Corporate,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Neutral,Somewhat important,Yes,BACHELOR OF ARTS IN MASS COMMUNICATION
14,1/31/2025 17:08,1/31/2025 17:09,anonymous,,UAE Curriculum,Literary,Physics;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Entrepreneur / Startup founder,Creative,Corporate,Important,A mix of both,Yes,No,Practical,A mix of both,Projects,Somewhat uncomfortable,No,Structured,Yes,Lab,Neutral,Important,No,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
15,1/31/2025 17:12,1/31/2025 17:13,anonymous,,UAE Curriculum,Literary,Biology;Chemistry;Business;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Entrepreneur / Startup founder,Creative,Startup,Important,Mostly with people,Yes,Yes,Practical,Mostly team-based,Projects,Neutral,Yes,Structured,Yes,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
16,1/31/2025 17:13,1/31/2025 17:14,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Corporate professional,Creative,Corporate,Somewhat important,Mostly with technology,Yes,Yes,Theoretical,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Structured,No,Outdoors,Somewhat dynamic,Very important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
17,1/31/2025 17:14,1/31/2025 17:15,anonymous,,UAE Curriculum,Scientific,Chemistry;Business;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Entrepreneur / Startup founder,Creative,Freelance,Very Important,Mostly with technology,Yes,Yes,Practical,Mostly individual,Projects,Somewhat comfortable,Yes,Structured,Yes,Office,Very predictable,Not important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
18,1/31/2025 17:15,1/31/2025 17:15,anonymous,,UAE Curriculum,Literary,Chemistry;Computer Science;Arts;Media;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Corporate professional,Technical,Startup,Very Important,Mostly with people,No,,Theoretical,Mostly team-based,Projects,Very uncomfortable,Yes,Structured,Yes,Office,Somewhat dynamic,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
19,1/31/2025 17:17,1/31/2025 17:18,anonymous,,UAE Curriculum,Literary,Business;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Corporate professional,Creative,Corporate,Neutral,Mostly with technology,No,,A mix of both,A mix of both,Exams,Neutral,Yes,Flexible,Yes,Outdoors,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
20,1/31/2025 17:18,1/31/2025 17:19,anonymous,,UAE Curriculum,Scientific,Chemistry;Computer Science;Media;Arts;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Business,Freelancer / Independent worker,Business-oriented,Startup,Somewhat important,Mostly with technology,Yes,Yes,A mix of both,Mostly team-based,Projects,Somewhat uncomfortable,Yes,Flexible,No,Lab,Somewhat predictable,Not important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
21,1/31/2025 17:19,1/31/2025 17:19,anonymous,,UAE Curriculum,Scientific,Chemistry;Biology;Business;Media;Arts;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Technology,Corporate professional,Technical,Corporate,Somewhat important,Mostly with people,Yes,Yes,Theoretical,Mostly individual,Projects,Somewhat uncomfortable,No,Structured,No,Lab,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
22,1/31/2025 17:21,1/31/2025 17:22,anonymous,,UAE Curriculum,Literary,Physics;Chemistry;Biology;Math;Business;Arts;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Science,Corporate professional,Creative,Corporate,Not important,Mostly with people,Yes,Yes,A mix of both,Mostly team-based,Exams,Somewhat uncomfortable,Yes,Structured,Yes,Office,Neutral,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
23,1/31/2025 17:21,1/31/2025 17:23,anonymous,,UAE Curriculum,Literary,Chemistry;Biology;Physics;Math;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Entrepreneur / Startup founder,Technical,Research,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Lab,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE
24,1/31/2025 17:27,1/31/2025 17:29,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Corporate professional,Technical,Freelance,Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,Yes,Flexible,Yes,Office,Neutral,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
25,1/31/2025 17:28,1/31/2025 17:33,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Engineering,Freelancer / Independent worker,Business-oriented,Freelance,Important,A mix of both,Yes,Yes,Practical,Mostly individual,Exams,Very comfortable,Yes,Structured,No,Outdoors,Somewhat dynamic,Important,No,BACHELOR OF SCIENCE IN CIVIL AND INFRASTRUCTURE ENGINEERING
26,1/31/2025 16:54,1/31/2025 17:45,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Engineering,Corporate professional,Technical,Corporate,Important,A mix of both,Yes,Yes,Practical,Mostly team-based,Projects,Very uncomfortable,Yes,Structured,No,Office,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
27,1/31/2025 17:45,1/31/2025 17:45,anonymous,,UAE Curriculum,Scientific,Arts;Media;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Arts,Entrepreneur / Startup founder,Business-oriented,Corporate,Not important,Mostly with technology,No,,Practical,Mostly individual,Exams,Very uncomfortable,No,Flexible,Yes,Remote,Somewhat predictable,Not important,Yes,BACHELOR OF ARTS IN MASS COMMUNICATION
28,1/31/2025 17:46,1/31/2025 17:56,anonymous,,UAE Curriculum,Scientific,Physics;Biology;Math;Arts;Chemistry;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Science,Freelancer / Independent worker,Business-oriented,Startup,Very Important,A mix of both,Yes,Yes,Theoretical,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Office,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
29,1/31/2025 18:19,1/31/2025 18:21,anonymous,,Non-UAE Curriculum,Scientific,Chemistry;Physics;Math;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Entrepreneur / Startup founder,Business-oriented,Research,Very Important,A mix of both,Yes,No,A mix of both,Mostly individual,Research,Somewhat comfortable,Yes,Structured,Yes,Remote,Somewhat predictable,Somewhat important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
30,1/31/2025 18:50,1/31/2025 18:53,anonymous,,UAE Curriculum,Literary,Biology;Chemistry;Physics;Math;Computer Science;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Business,Freelancer / Independent worker,Creative,Freelance,Very Important,A mix of both,Yes,Yes,Practical,A mix of both,Exams,Neutral,Yes,Flexible,Yes,Office,Somewhat dynamic,Very important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
31,1/31/2025 21:07,1/31/2025 21:09,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Business;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Technical,Research,Not important,Mostly with people,Yes,Yes,Theoretical,Mostly individual,Exams,Very uncomfortable,Yes,Structured,Yes,Office,Very predictable,Not important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
32,1/31/2025 23:18,1/31/2025 23:26,anonymous,,Non-UAE Curriculum,Scientific,Biology;Chemistry;Physics;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Technology,Corporate professional,Creative,Corporate,Neutral,A mix of both,No,,A mix of both,A mix of both,Projects,Neutral,Yes,Structured,Yes,Remote,Somewhat dynamic,Important,No,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
33,1/31/2025 23:27,1/31/2025 23:28,anonymous,,UAE Curriculum,Literary,Business;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Business,Entrepreneur / Startup founder,Business-oriented,Corporate,Very Important,A mix of both,Yes,Yes,A mix of both,Mostly individual,Research,Neutral,Yes,Flexible,Yes,Remote,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BUSINESS ADMINISTRATION
34,2/1/2025 1:03,2/1/2025 1:06,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Math;Computer Science;Biology;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Creative,Research,Important,A mix of both,Yes,Yes,Practical,A mix of both,Research,Neutral,Yes,Flexible,Yes,Lab,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
35,2/1/2025 9:42,2/1/2025 9:48,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Computer Science;Business;Arts;Media;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Engineering,Entrepreneur / Startup founder,Creative,Freelance,Neutral,A mix of both,No,Yes,A mix of both,A mix of both,Projects,Somewhat comfortable,Yes,Flexible,Yes,Lab,Somewhat dynamic,Important,Yes,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
36,2/3/2025 11:49,2/3/2025 11:51,anonymous,,American ,Scientific,Physics;Chemistry;Biology;Math;Business;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Researcher,Technical,Research,Very Important,A mix of both,Yes,Yes,A mix of both,Mostly individual,Exams,Very comfortable,Yes,Structured,Yes,Lab,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
37,2/11/2025 9:40,2/11/2025 9:41,anonymous,,UAE Curriculum,Scientific,Physics;Chemistry;Biology;Math;Arts;,5.0 - 6.0 (IELTS) / 500 - 550 (TOEFL-PBT) / 61 - 79 (TOEFL-IBT),Science,Researcher,Creative,Corporate,Neutral,Mostly with people,Yes,Yes,A mix of both,A mix of both,Research,Neutral,Yes,Structured,Yes,Office,Neutral,Important,No,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
38,2/11/2025 9:53,2/11/2025 9:55,anonymous,,Non-UAE Curriculum,Literary,Business;Arts;Media;,Below 5.0 (IELTS) / Below 500 (TOEFL-PBT) / Below 61 (TOEFL- IBT),Science,Researcher,Business-oriented,Research,Neutral,A mix of both,Yes,Yes,A mix of both,A mix of both,Projects,Neutral,No,Flexible,No,Office,Neutral,Important,Yes,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
39,2/11/2025 9:55,2/11/2025 9:56,anonymous,,Non-UAE Curriculum,Scientific,Physics;Chemistry;Biology;,Above 6.0 (IELTS) / Above 550 (TOEFL-PBT) / Above 79 (TOEFL- IBT),Science,Researcher,Creative,Corporate,Very Important,A mix of both,Yes,Yes,A mix of both,A mix of both,Research,Very comfortable,Yes,Structured,Yes,Lab,Somewhat dynamic,Important,No,BACHELOR OF SCIENCE IN BIOTECHNOLOGY
